date,home,away,side,line,model_prob,market_prob,edge,clv,odds,actual_total,won,push,profit
2022-04-18,ANA,CBJ,UNDER,6.0,0.49939103340033664,0.4652439506655315,0.034147082734805156,3.4147082734805156,2.08,10,False,False,-100.0
2022-04-18,TOR,NYI,OVER,6.5,0.46325018703669724,0.4620132690210863,0.0012369180156109327,0.12369180156109327,2.1,6,False,False,-100.0
2022-04-18,MIN,SJS,UNDER,6.0,0.5410903565988665,0.5026236956915097,0.03846666090735684,3.846666090735684,1.934,9,False,False,-100.0
2022-04-18,NSH,STL,OVER,6.5,0.5789737748644239,0.4953756681379324,0.08359810672649154,8.359810672649154,1.961,11,True,False,96.10000000000001
2022-04-19,VAN,DAL,UNDER,5.5,0.5368813937524788,0.4930942155117578,0.04378717824072098,4.378717824072098,1.97,8,False,False,-100.0
2022-04-19,VGK,NJD,UNDER,7.0,0.624419980516915,0.5629774752712144,0.06144250524570061,6.144250524570061,1.735,5,True,False,73.50000000000001
2022-04-19,ARI,CAR,UNDER,6.0,0.6554650629201133,0.4652439506655315,0.19022111225458183,19.022111225458183,2.08,8,False,False,-100.0
2022-04-19,SEA,OTT,UNDER,6.0,0.7228994673864331,0.5204971789052903,0.20240228848114272,20.24022884811427,1.869,6,False,True,0.0
2022-04-19,COL,WSH,UNDER,6.5,0.4674074707129111,0.4566105796671309,0.010796891045780188,1.0796891045780188,2.12,5,True,False,112.00000000000001
2022-04-19,CHI,CGY,UNDER,6.5,0.5130303321507201,0.4483621331276846,0.06466819902303556,6.4668199023035555,2.16,7,False,False,-100.0
2022-04-20,SJS,CBJ,UNDER,6.0,0.5559796314566987,0.47079206056269063,0.08518757089400808,8.518757089400808,2.06,5,True,False,106.0
2022-04-20,ANA,LAK,UNDER,6.0,0.6239572421297246,0.46631786090670846,0.15763938122301613,15.763938122301614,2.08,3,True,False,108.0
2022-04-20,VAN,OTT,UNDER,6.5,0.6946929123417656,0.4953756681379324,0.19931724420383318,19.93172442038332,1.961,7,False,False,-100.0
2022-04-20,STL,BOS,OVER,6.5,0.5083939203509508,0.46855306129142593,0.039840859059524836,3.9840859059524836,2.07,5,False,False,-100.0
2022-04-20,NSH,CGY,UNDER,6.5,0.5696166324156837,0.5216729006578296,0.04794373175785416,4.794373175785416,1.869,5,True,False,86.9
